fish_length,avg_water_velocity,p,i,d,scenario
698,2.302,8.842,0.532,2.318,below falls
698,3.468,16.992,0.715,1.566,high flow
698,3.006,10.681,0.064,2.631,ds of chute
698,2.628,10.836,0.058,1.481,in chute
698,1.657,8.902,0.4994,4.504,up top
698,1.657,7.515,0.562,4.971,above first falls
698,0.982,7.711,0.747,3.172,mid river
698,1.239,12.893,0.054,1.975,side channel
698,1.098,6.531,0.687,2.615,low flwo speed
626,2.993,4.74,0.853,3.86,ds of chute
626,3.469,7.637,0.9,2.053,high flow
626,2.194,4.1903,0.837,2.525,below falls
626,1.709,4.05,0.593,2.84,up top
626,1.709,5.342,0.285,2.378,above first falls
626,2.582,7.427,0.088,2.231,in chute
626,1.237,2.934,0.786,2.138,side channel
598,2.191,1.736,0.502,2.376,below falls
598,2.993,1.764,0.066,2.52,ds of chute
598,3.468,5.402,0.801,3.222,high flow
598,2.514,5.148,0.011,4.075,in chute
598,1.717,4.748,0.023,2.249,above first falls
598,1.717,6.053,0.011,1.775,up top
598,1.237,5.802,0.01,1.113,side channel
598,1.101,4.831,0.008,1.2469,low flow speed
570,2.187,1.975,0.488,1.192,below falls
570,3.469,4.542,1.123,3.079,high flow speed
570,2.993,4.485,0.597,2.848,ds of chute
570,2.354,2.834,0.035,3.648,in chute
570,1.731,5.586,0.022,2.435,above first falls
570,1.732,3.11,0.024,2.611,up top
570,1.237,5.054,0.02,1.342,side channel
570,1.102,4.829,0.007,0.799,low flow speed
468,2.155,4.005,0.367,1.281,below falls
468,3.469,4.266,1.042,1.212,high flow speed
468,2.993,3.678,1.023,1.598,ds of chute
468,1.851,5.037,0.02,0.68,above first falls
468,1.851,4.646,0.032,0.861,up top
468,1.239,2.989,0.082,1.9,side channel
468,1.106,4.057,0.024,0.763,low flow speed
