body_depths_submerged,wave_drag_multiplier
2.994579946,1.057654076
2.764227642,1.073558648
2.547425474,1.145129225
2.350948509,1.200795229
2.215447154,1.256461233
2.00203252,1.351888668
1.761517615,1.566600398
1.473577236,1.964214712
1.20596206,2.504970179
1.016260163,2.982107356
0.867208672,3.610337972
0.799457995,4.031809145
0.694444444,4.548707753
0.748644986,4.27833002
0.640243902,4.819085487
0.58604336,4.994035785
0.508130081,5.02584493
0.420054201,4.96222664
0.369241192,4.811133201
0.247289973,4.318091451
0.135501355,3.833001988
0.023712737,3.308151093
-0.077913279,2.75944334
-0.159214092,2.26640159
-0.233739837,1.789264414
-0.31504065,1.248508946
-0.382791328,0.819085487
-0.457317073,0.302186879
-0.504742547,-0.007952286
