run_id,Kp_factor,Ki_factor,max_rudder_deg,enroute_event_count,mean_abs_err_deg
1,1.0,1.0,20.0,260,24.44930465418417
2,0.5,1.0,20.0,260,24.44930465418417
3,1.0,0.0,20.0,260,24.44930465418417
4,1.0,1.0,15.0,260,24.44930465418417
1,0.25,0.0,15.0,359,24.29502341620463
2,0.25,0.0,20.0,359,24.29502341620463
3,0.25,0.0,25.0,359,24.29502341620463
4,0.25,0.5,15.0,359,24.29502341620463
5,0.25,0.5,20.0,99,23.889840366965416
6,0.25,0.5,25.0,99,23.889840366965416
7,0.25,1.0,15.0,99,23.889840366965416
8,0.25,1.0,20.0,99,23.889840366965416
9,0.25,1.0,25.0,99,23.889840366965416
10,0.5,0.0,15.0,99,23.889840366965416
11,0.5,0.0,20.0,99,23.889840366965416
12,0.5,0.0,25.0,99,23.889840366965416
13,0.5,0.5,15.0,99,23.889840366965416
14,0.5,0.5,20.0,99,23.889840366965416
15,0.5,0.5,25.0,99,23.889840366965416
16,0.5,1.0,15.0,99,23.889840366965416
17,0.5,1.0,20.0,99,23.889840366965416
18,0.5,1.0,25.0,99,23.889840366965416
19,1.0,0.0,15.0,99,23.889840366965416
20,1.0,0.0,20.0,99,23.889840366965416
21,1.0,0.0,25.0,99,23.889840366965416
22,1.0,0.5,15.0,99,23.889840366965416
23,1.0,0.5,20.0,99,23.889840366965416
24,1.0,0.5,25.0,99,23.889840366965416
25,1.0,1.0,15.0,99,23.889840366965416
26,1.0,1.0,20.0,99,23.889840366965416
27,1.0,1.0,25.0,99,23.889840366965416
28,2.0,0.0,15.0,99,23.889840366965416
29,2.0,0.0,20.0,99,23.889840366965416
30,2.0,0.0,25.0,99,23.889840366965416
31,2.0,0.5,15.0,99,23.889840366965416
32,2.0,0.5,20.0,99,23.889840366965416
33,2.0,0.5,25.0,99,23.889840366965416
34,2.0,1.0,15.0,99,23.889840366965416
35,2.0,1.0,20.0,99,23.889840366965416
36,2.0,1.0,25.0,99,23.889840366965416
